seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,dropout,batch_size,grad_clip,MAE,MAPE,MSE,RMSE,r2,runtime
1048596,12,8,4,8,2,1,120,FE,0.1,0.5,128,1.0,1132.5371704101562,34.75587200373411,1631533.837890625,1132.5371704101562,-inf,130.102294
1048596,12,8,4,128,8,3,30,IND,0.1,0.1,128,1.0,2044.9616088867188,99.09820109605789,4230113.0,2044.9616088867188,-inf,49.708662
1048596,12,8,4,128,8,1,120,NAE,0.1,0.5,128,0.01,886.6888732910156,96.5730108320713,1123889.02734375,886.6888732910156,-inf,171.411188
1048596,12,8,4,128,2,3,120,NE,0.1,0.1,16,0.01,634.6671447753906,21.914073661901057,966693.894859314,634.6671447753906,-inf,1151.097496
1048596,12,8,4,8,8,3,120,SAE,1e-05,0.1,128,0.01,1320.1699829101562,39.06076066195965,1975644.515625,1320.1699829101562,-inf,134.953867
1048596,12,8,4,8,2,1,120,SAW,0.1,0.1,16,0.01,698.2215270996094,67.26770624518394,562843.224609375,698.2215270996094,-inf,837.022539
1048596,12,8,4,8,2,1,120,SE,1e-05,0.1,16,1.0,1399.1855163574219,74.99407902359962,2261690.140625,1399.1855163574219,-inf,835.190146
1048596,12,8,4,128,2,3,120,NAW,1e-05,0.5,128,0.01,1115.6400756835938,31.121059879660606,2589774.2412109375,1115.6400756835938,-inf,170.85569
1048596,12,8,4,128,2,3,120,FE,1e-05,0.1,128,1.0,973.823974609375,27.563764713704586,1657322.6162109375,973.823974609375,-inf,170.285979
1048596,12,8,4,128,8,1,30,IND,0.1,0.1,16,0.01,1441.6336059570312,75.28220787644386,2303545.71875,1441.6336059570312,-inf,294.896233
1048596,12,8,4,128,8,1,30,NAE,1e-05,0.5,128,0.01,676.4612731933594,68.80416925996542,602949.958984375,676.4612731933594,-inf,49.319052
1048596,12,8,4,128,8,3,120,NE,0.1,0.1,128,0.01,840.8230895996094,43.21040026843548,745107.6796875,840.8230895996094,-inf,172.595245
1048596,12,8,4,128,2,3,30,SAE,0.1,0.5,16,0.01,589.8221435546875,18.17584168165922,494214.2966308594,589.8221435546875,-inf,293.033954
1048596,12,8,4,8,8,3,30,SAW,1e-05,0.5,128,0.01,1449.4962463378906,127.03214511275291,2527960.328125,1449.4962463378906,-inf,39.175482
1048596,12,8,4,128,2,1,120,SE,1e-05,0.1,16,0.01,1383.1766357421875,94.22947214916348,3655254.3012695312,1383.1766357421875,-inf,1134.212189
1048596,12,8,4,128,2,3,120,NAW,1e-05,0.5,16,0.01,1197.3602905273438,33.59491731971502,2925169.7891845703,1197.3602905273438,-inf,1126.653906
1048596,12,8,4,8,2,3,30,FE,1e-05,0.1,128,1.0,1281.02783203125,45.51990535110235,2436765.150390625,1281.02783203125,-inf,38.04605
1048596,12,8,4,128,8,3,120,IND,1e-05,0.5,16,0.01,677.5288696289062,35.51015220582485,640751.849609375,677.5288696289062,-inf,1156.577127
1048596,12,8,4,128,8,3,30,NAE,1e-05,0.5,128,1.0,929.4845275878906,83.99779833853245,940081.6015625,929.4845275878906,-inf,48.504324
1048596,12,8,4,128,8,3,30,NE,0.1,0.5,128,0.01,620.2740783691406,30.053511261940002,388740.8984375,620.2740783691406,-inf,48.413807
1048596,12,8,4,128,2,1,30,SAE,1e-05,0.1,16,1.0,397.89190673828125,10.964871349278837,363273.12770843506,397.89190673828125,-inf,282.601956
1048596,12,8,4,8,2,3,120,SAW,1e-05,0.5,16,1.0,1197.3135375976562,110.95658987760544,1491865.4375,1197.3135375976562,-inf,826.325871
1048596,12,8,4,8,8,3,120,SE,0.1,0.1,16,1.0,750.8838806152344,40.86646568030119,765992.2041015625,750.8838806152344,-inf,842.129686
1048596,12,8,4,8,8,1,30,NAW,0.1,0.1,128,1.0,1178.2666625976562,33.85965786874294,2693872.61328125,1178.2666625976562,-inf,37.312913
1048596,12,8,4,8,8,1,120,FE,1e-05,0.1,16,1.0,495.09967041015625,15.877018368337303,324634.2028427124,495.09967041015625,-inf,831.457707
1048596,12,8,4,128,8,3,30,IND,1e-05,0.5,16,1.0,882.684814453125,46.90055884420872,1132767.689453125,882.684814453125,-inf,295.652984
1048596,12,8,4,128,8,3,120,NAE,1e-05,0.1,16,1.0,887.9204406738281,79.42705005407333,844137.78125,887.9204406738281,-inf,1134.662386
1048596,12,8,4,8,8,3,30,NE,0.1,0.1,16,0.01,720.5363159179688,26.31824375130236,1117814.3489685059,720.5363159179688,-inf,225.772371
1048596,12,8,4,128,2,1,120,SAE,0.1,0.1,16,1.0,289.65948486328125,8.199405577033758,136693.0908203125,289.65948486328125,-inf,1140.631356
1048596,12,8,4,128,8,3,120,SAW,0.1,0.5,16,1.0,830.8672485351562,73.61254170536995,734816.90625,830.8672485351562,-inf,1183.929488
1048596,12,8,4,128,8,1,120,SE,1e-05,0.5,16,1.0,953.0756530761719,58.52385871112347,1311973.736328125,953.0756530761719,-inf,1155.909572
1048596,12,8,4,128,2,1,120,NAW,1e-05,0.1,128,0.01,1157.5486450195312,32.23393075168133,2793551.2622070312,1157.5486450195312,-inf,165.916806
1048596,12,8,4,8,8,1,30,FE,1e-05,0.5,16,1.0,997.3990478515625,35.50586961209774,1182635.3671875,997.3990478515625,-inf,218.288391
1048596,12,8,4,8,8,1,120,IND,0.1,0.5,16,1.0,1052.1690673828125,51.35955959558487,1533066.986328125,1052.1690673828125,-inf,827.754862
1048596,12,8,4,128,8,1,120,NAE,0.1,0.1,16,1.0,878.5590515136719,81.87450468540192,869660.2265625,878.5590515136719,-inf,1160.365062
1048596,12,8,4,8,8,3,30,NE,1e-05,0.1,128,1.0,2403.0678100585938,138.6898424476385,8477970.1875,2403.0678100585938,-inf,38.570286
1048596,12,8,4,128,2,1,120,SAE,0.1,0.5,16,0.01,536.2437744140625,16.06507422402501,421894.2111816406,536.2437744140625,-inf,1122.814393
1048596,12,8,4,8,2,3,120,SAW,1e-05,0.1,128,0.01,1585.47021484375,143.4967890381813,2664560.359375,1585.47021484375,-inf,130.190327
1048596,12,8,4,128,8,1,30,SE,1e-05,0.5,16,0.01,874.5547180175781,52.834201604127884,1181614.5888671875,874.5547180175781,-inf,296.085984
1048596,12,8,4,128,8,1,30,NAW,1e-05,0.1,128,1.0,830.2826538085938,22.60782402008772,1532008.41796875,830.2826538085938,-inf,47.802014
