trial_index,LR,epochs,gradclip,attention_heads,hidden_size,mae,mape,mse,rmse,r2,runtime_s,started_at
97,0.0774299884868215,5,0.01,8,58,2878.005,32.095673,2.4994102e+07,4999.41,-0.36812758,5.931639,2025-11-02T16:11:32
98,0.1,5,0.01,8,56,2898.6694,30.356646,2.6223558e+07,5120.894,-0.43542564,5.749853,2025-11-02T16:11:40
99,0.1,5,0.01,2,58,3547.2402,77.1436,1.8312716e+07,4279.336,-0.0024018288,5.857197,2025-11-02T16:11:48
0,0.050005,4,0.505,4,68,3154.312255859375,57.42983149123205,19375648.54385051,4401.777884429258,-0.06058466668998763,7.902535,2025-11-04T14:43:03
1,0.07314868292450905,4,0.7035651135444642,8,34,2867.690185546875,30.940816551479355,25365181.746593505,5036.385782145119,-0.3884398639538713,5.709039,2025-11-04T14:43:11
2,0.009316651452528314,4,0.1397645177692175,2,84,3807.1279907226562,55.012204559722214,32930305.402721718,5738.493304232542,-0.8025397653401289,7.370864,2025-11-04T14:43:17
3,0.03862403217093088,5,0.7593909097835422,4,119,5403.095458984375,100.77033280344716,47538700.68947676,6894.831447503032,-1.6021744207176916,10.246456,2025-11-04T14:43:24
4,0.08059233472738415,3,0.33143871046602724,1,66,3513.0216064453125,75.56021977456268,18333262.868922025,4281.735964409999,-0.0035265371979904536,4.875554,2025-11-04T14:43:35
5,1e-05,5,0.32152305339772186,2,125,4413.1619873046875,119.92183123925939,20476545.567142695,4525.101718982977,-0.12084559162707387,9.310973,2025-11-04T14:43:40
6,0.03943937431172185,5,0.8628257670131221,4,128,3234.49755859375,61.69766784225068,18996756.068775088,4358.526823225376,-0.03984484224076912,8.804272,2025-11-04T14:43:50
7,0.034650438276918466,5,0.7352039397868368,4,125,3016.6072998046875,32.50064390296587,27253608.190068334,5220.498844944641,-0.49180859122968545,9.182906,2025-11-04T14:44:00
8,0.05242558982886513,5,0.8811372507791978,8,118,3791.7283935546875,89.08231648017394,18336221.999167293,4282.0815030972135,-0.003688514132995646,9.010585,2025-11-04T14:44:10
9,0.04044476456346088,5,0.7703860583004203,4,116,2898.5538940429688,33.83034983756927,24495351.825919494,4949.277909545946,-0.34082709504927533,8.882933,2025-11-04T14:44:19
10,0.03778560929934162,5,0.7543398901550042,4,120,4018.1740112304688,61.029376337101894,34522385.21533044,5875.575309306352,-0.889687064362302,8.828125,2025-11-04T14:44:29
11,0.03854394634091065,5,0.7182340654764006,4,127,3429.3365478515625,71.21998376005745,18498943.082943946,4301.0397676543225,-0.012595544316275298,9.400508,2025-11-04T14:44:39
12,0.03968792072575008,5,0.7673858352877393,4,119,4131.703308105469,64.40136604959018,35676969.65539779,5973.020145236226,-0.95288673227344,9.045994,2025-11-04T14:44:49
13,0.013376907307635197,5,0.572872331889097,4,119,3684.8870849609375,51.4146757686547,31767861.94403401,5636.298603164492,-0.738909910298732,8.900462,2025-11-04T14:44:58
14,0.04622212444477064,4,0.824091781607561,4,119,2944.5145874023438,30.416904199362584,27532487.50000085,5247.140888140974,-0.5070738928944076,7.482834,2025-11-04T14:45:08
15,0.06248974141016166,5,0.5873798107073429,4,119,3078.4796142578125,34.03707853860215,27741069.411124974,5266.979154233,-0.5184912540313256,9.086536,2025-11-04T14:45:16
16,0.030835286224418067,5,1.0,4,119,3450.4996337890625,72.28478460601704,18454879.49220559,4295.914278963861,-0.010183590538798581,8.942463,2025-11-04T14:45:26
17,0.0022685740068622952,5,0.7204612551836953,4,119,3242.7026977539062,38.65882860909022,28652826.798062548,5352.8335298290895,-0.5683990494859572,9.124868,2025-11-04T14:45:36
18,0.034447554385826584,5,0.6831961125278193,4,119,2900.2720336914062,40.14769889582104,22112256.41723068,4702.367107875637,-0.2103811673171252,9.221589,2025-11-04T14:45:46
