trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
40,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.479469,2026-01-11T00:12:56
41,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,122.008377,2026-01-11T00:17:59
42,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,302.382238,2026-01-11T00:20:02
43,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,301.912254,2026-01-11T00:25:05
44,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,301.094966,2026-01-11T00:30:08
45,24,0,0,0,0,1,2,52,1542.9699369716081,56.39889612731964,3048688.3220043047,1699.9187295942536,-18.0417454986088,18.382794420522554,21.522612,2026-01-11T00:35:09
46,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,301.385258,2026-01-11T00:35:32
47,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,300.71088,2026-01-11T00:40:34
48,24,4,2,0,2,0,2,52,38519.970552843086,1986.5427181170862,6630223502.433747,47487.51838249393,-44369.132877039585,2782.198750635686,99.426292,2026-01-11T00:45:35
49,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,121.809745,2026-01-11T00:47:15
50,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,301.61885,2026-01-11T00:49:17
51,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,298.635244,2026-01-11T00:54:20
52,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.361135,2026-01-11T00:59:19
53,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.976865,2026-01-11T01:04:13
54,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.572834,2026-01-11T01:09:07
55,24,4,2,4,2,0,2,52,143506267435.13138,6986258552.734315,6.374290327184019e+22,145765683743.9918,-4.2658074048810054e+17,9880061569.474745,191.470694,2026-01-11T01:11:08
56,24,0,0,0,2,0,2,52,1516.1298157615472,49.02220240611276,4351650.625354019,1728.3347966594422,-27.25142863853966,27.097175806534185,53.045336,2026-01-11T01:14:20
57,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.346038,2026-01-11T01:15:13
58,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.942644,2026-01-11T01:20:08
59,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.796339,2026-01-11T01:25:03
60,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.660323,2026-01-11T01:29:57
61,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.945879,2026-01-11T01:31:58
62,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.645971,2026-01-11T01:36:52
63,24,4,0,4,0,1,2,52,889.3433064409691,37.0971499526868,1226673.3905540586,1027.5806750834345,-5.730372967079966,20.801842861453938,232.229106,2026-01-11T01:38:52
64,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,293.578258,2026-01-11T01:42:45
65,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.395553,2026-01-11T01:47:39
66,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.547974,2026-01-11T01:52:34
67,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.463296,2026-01-11T01:57:30
68,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.714118,2026-01-11T02:02:25
69,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.557416,2026-01-11T02:04:25
70,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.629785,2026-01-11T02:06:25
71,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.8998,2026-01-11T02:08:26
72,24,4,2,4,0,1,2,52,503.34133936352146,18.560451375647816,465549.7972533536,613.0719959451843,-1.284467174868097,8.791369508104408,284.624386,2026-01-11T02:10:26
73,24,3,2,4,1,1,2,52,551.3985435939518,20.0336597487135,525636.6591328571,660.5983731733335,-1.6222127989461317,9.054341874478139,250.371265,2026-01-11T02:15:11
74,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.442305,2026-01-11T02:19:22
75,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.422937,2026-01-11T02:24:17
76,24,0,0,4,2,0,2,52,1262.4915276519223,41.41408688633549,2434222.2229973776,1413.1369434006162,-14.49230741960747,16.24795693842735,89.456953,2026-01-11T02:29:12
77,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.727952,2026-01-11T02:30:42
78,24,1,2,2,2,0,1,52,463.95457870814533,15.939914704221062,424147.99645252357,571.155092039938,-1.0890329997160655,9.688542082300483,119.530123,2026-01-11T02:35:37
79,24,3,2,4,2,1,2,52,431.494097005367,15.454671967833091,367584.2431218989,532.3365472660892,-0.7804741042450357,8.763713663554364,294.14308,2026-01-11T02:37:37
