trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
130,43,64,128,4,1,600,0.0005253245842434022,524.4374885377605,13.064243918603168,452759.177876876,672.8738201749835,0.37937760370186535,4.339233,2025-11-12T00:19:01
131,43,64,128,4,1,600,0.0005267629580282919,525.0686225709636,13.04114355893025,459830.150143861,678.1077717766262,0.3696850254683939,4.982081,2025-11-12T00:19:07
132,43,64,128,4,1,600,0.000528047970651432,528.8468173365886,13.24709563079359,454551.1511082708,674.2040871340597,0.37692124549796213,4.587085,2025-11-12T00:19:13
133,43,64,128,4,1,600,0.0005272291956490519,534.1658379257814,13.395196596806445,459931.20546418725,678.182280411533,0.36954650327354044,5.146086,2025-11-12T00:19:19
134,43,64,128,4,1,600,0.0005267314909285992,526.3236505807291,13.346555443017607,442638.7276007973,665.3110006611926,0.3932502724601432,4.411583,2025-11-12T00:19:25
135,43,64,256,8,22,386,0.001,764.8168527513021,20.14395402052296,730094.2573040631,854.4555326663074,-0.0007811428944122234,57.084669,2025-11-12T00:19:31
136,43,64,128,4,1,600,0.000526155445156991,534.0324925403646,13.63081698553522,443555.5603748567,665.9996699510118,0.39199351835985163,4.932639,2025-11-12T00:20:30
137,43,64,128,4,1,600,0.0005203866171635049,521.0482673463542,12.834406669803023,463258.8993143597,680.631250615456,0.3649850466927481,5.127921,2025-11-12T00:20:36
138,43,64,128,4,1,600,0.0005228240432535941,527.5300585247396,13.106762459021809,455094.06152577867,674.6065976002449,0.3761770477417312,4.511771,2025-11-12T00:20:42
139,43,64,128,4,1,600,0.0005233841743391331,533.6125176621094,13.264013701811962,472726.5971326328,687.5511596475078,0.35200714233538755,4.722898,2025-11-12T00:20:48
140,43,64,128,4,1,600,0.0005227602225751049,527.6337369101562,13.198951215265687,451484.0672198472,671.9256411388444,0.3811254693889211,4.767398,2025-11-12T00:20:54
141,43,64,128,4,1,600,0.0005241226814120168,528.1484972454427,13.054856561328801,459898.1689255289,678.157923293335,0.3695917883098012,5.065888,2025-11-12T00:21:00
142,43,64,128,4,1,600,0.000525423213018516,527.4843635377605,13.199748883720094,446295.9770309609,668.053872850806,0.3882370755640543,4.748672,2025-11-12T00:21:07
143,43,64,128,4,1,600,0.0005262240524533428,528.5417365846355,13.195549132984286,455191.2376614528,674.6786180556286,0.3760438429628289,4.79776,2025-11-12T00:21:13
144,43,64,128,4,1,598,0.0005281773850576627,529.6518649928386,13.082139990194278,466661.5463202736,683.1263033438792,0.3603208476179339,4.602845,2025-11-12T00:21:19
145,43,64,128,4,1,597,0.0005274662120625981,527.9023757597656,13.841757327212456,414063.6192664539,643.4777535132461,0.432419775974353,5.101233,2025-11-12T00:21:25
146,43,64,128,4,1,600,0.0005133002862850178,531.4566602727865,13.256870859438088,463713.8805907036,680.9654033728171,0.36436137834146376,4.730434,2025-11-12T00:21:32
147,43,64,128,4,1,600,0.0005154527485348652,529.9775479453125,13.154521721576637,468014.7985480023,684.1160709616478,0.3584658688976634,4.79886,2025-11-12T00:21:38
148,43,64,128,4,1,600,0.0005145573354269347,522.5595696640626,12.88174089845698,464040.1535354297,681.2049277092979,0.3639141377184184,4.445308,2025-11-12T00:21:44
149,43,64,128,4,1,600,0.0005148023343929879,535.9056898626303,13.218769278561018,470604.4479366781,686.0061573606159,0.3549160912505077,5.024288,2025-11-12T00:21:50
