trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
41,16,35,64,512,4,1,2000,0.0003306801042956828,100.46353691643455,8.551908164088196,13512.046598889687,116.24132913421838,0.2509429971246483,21.77008,2025-11-23T20:52:40,923
42,12,35,64,512,4,1,2000,0.0003709905521401333,155.3607217828762,11.798267931697772,31584.532712469532,177.72037787622872,-2.760497482594784,25.891511,2025-11-23T20:53:02,1077
43,16,35,64,512,8,2,2000,9.205809597157997e-05,99.72424789916025,8.717751553088664,14574.541625785134,120.72506626954129,0.19204227216106884,31.02527,2025-11-23T20:53:29,704
44,16,37,64,512,8,1,2000,0.0002008989739016978,163.3245875001633,13.171644288788645,35762.72198789022,189.11034341857194,-0.9825506928842844,28.856935,2025-11-23T20:54:01,1191
45,24,48,16,256,32,10,2000,1e-05,83.22290094210764,7.689291129568221,9679.957473986435,98.38677489371442,-0.4956771231912127,318.72261,2025-11-23T20:54:31,1060
46,24,39,16,256,32,10,2000,1e-05,73.14351549284987,6.365272274395045,10589.25807004199,102.90412076317445,-0.6361756846032123,317.530436,2025-11-23T20:59:51,1022
47,12,39,32,1024,4,1,2000,0.0003317472468727684,116.36067568584944,8.799698126754105,17661.42049329465,132.8962771987788,-1.102792778626787,68.245313,2025-11-23T21:05:10,1123
48,12,38,64,1024,16,1,2000,0.0022650849613333438,66.74549938818768,5.26338145737859,6845.421544872279,82.73706270391934,0.18497478746521656,18.928566,2025-11-23T21:06:19,370
49,12,42,64,1024,32,1,2000,0.0009678274672658051,89.0800792838628,6.733356920057279,11289.165243086274,106.25048349577649,-0.34410338958290576,64.811089,2025-11-23T21:06:39,1111
50,12,41,64,512,16,1,2000,0.0018021160591281935,102.42425397360985,7.7168209182723295,14736.531447784859,121.39411619919994,-0.7545515051959402,16.965185,2025-11-23T21:07:45,643
51,12,35,64,1024,32,1,2000,0.0020798056574000746,154.76197744928655,11.717906242715264,31325.7643608979,176.99085954053643,-2.7296881702165092,28.070561,2025-11-23T21:08:03,553
52,12,44,64,1024,8,1,2000,0.001169512050875213,145.7608395266249,11.905284685067343,29590.54927885842,172.0190375477622,-2.5230910992016256,107.720898,2025-11-23T21:08:32,1863
53,12,33,32,512,4,1,2000,0.0020514947548253616,141.77795231465313,11.59459738291833,28440.748252329973,168.6438503246708,-2.3861942229645403,21.575609,2025-11-23T21:10:21,671
54,16,29,64,512,8,3,2000,2.4720072921831056e-05,112.7193766382808,9.352432579245711,16706.549061473554,129.2538164290461,0.07385180499557231,114.172764,2025-11-23T21:10:44,2000
55,12,41,32,1024,32,1,2000,0.003004912583601861,89.17025107491413,7.388571722460513,14144.42935141409,118.93035504619537,-0.6840550231643314,42.290375,2025-11-23T21:12:39,612
56,12,45,64,512,32,1,2000,0.0002817363523896779,116.51159918845742,9.006492231195619,18638.00373132295,136.52107431207443,-1.2190661090439825,30.307304,2025-11-23T21:13:23,993
57,12,40,64,512,16,2,2000,2.861874273959165e-05,154.84866733951682,11.789800819965391,30570.00039151254,174.84278764510861,-2.6397058826777906,97.878035,2025-11-23T21:13:54,2000
58,12,40,64,512,32,1,2000,0.004411177495861244,257.41039600448954,20.508428417319656,72643.81753735367,269.5251705079762,-7.649071856220415,10.971108,2025-11-23T21:15:33,394
59,16,26,64,512,4,3,2000,0.00014479085045856466,143.28391784671297,11.56241901131286,28425.697936814686,168.5992228238751,-0.5758136967156495,97.188849,2025-11-23T21:15:45,1860
60,12,44,32,1024,4,1,2000,9.314186719615311e-05,81.6020632641801,6.364507925913297,10262.455424587515,101.30377793837461,-0.22186192022294793,27.192664,2025-11-23T21:17:24,403
61,12,42,32,1024,16,1,2000,0.00038344642063421866,303.7447807940131,23.3065413746695,98511.18457122223,313.8649145272887,-10.728875806392972,14.74356,2025-11-23T21:17:52,224
62,16,33,32,256,8,1,2000,3.751801915909682e-05,92.4371119166255,8.178676193849197,13389.19187243803,115.71167560984514,0.2577536007228116,24.295921,2025-11-23T21:18:08,861
63,12,42,32,512,4,1,2000,5.086059492161099e-05,134.14386642906663,10.291745142587343,22605.43569586032,150.35104155229627,-1.6914339623482886,18.543989,2025-11-23T21:18:34,537
64,12,47,32,512,4,2,2000,0.00017066870231019363,147.47918115435934,12.065763267917236,32866.49228537041,181.29118093655416,-2.913129335361717,26.477901,2025-11-23T21:18:53,405
65,12,36,64,1024,4,1,2000,0.00011486031720830054,118.65752663087183,9.074100205295178,18605.69609134684,136.40269825537484,-1.2152195174257132,52.92155,2025-11-23T21:19:21,1065
66,12,39,64,1024,4,3,2000,5.149804915240732e-05,232.55590171937808,17.6853595327997,62393.69133937339,249.7872921895215,-6.428677870509621,175.607141,2025-11-23T21:20:15,1167
67,12,30,64,1024,8,1,2000,0.0013014038425495015,155.6770514182713,11.706356062263678,30715.22893468119,175.25760735180995,-2.6569969908274134,73.249067,2025-11-23T21:23:11,1669
68,16,28,64,256,16,1,2000,6.502464222709971e-05,98.48029430185503,8.150734532852328,12658.793490200507,112.51130383299497,0.29824413774840197,31.786669,2025-11-23T21:24:26,1984
69,12,39,32,256,4,1,2000,0.0003105851688696637,109.74186776555719,9.030828963340198,20055.741357191673,141.6182945709758,-1.3878638817257487,8.348393,2025-11-23T21:24:59,301
70,16,34,64,256,4,1,2000,9.363182731111446e-05,90.7763610243401,7.453501001869775,11624.332766029906,107.81619899639342,0.3555907464925703,16.781192,2025-11-23T21:25:08,1039
71,24,45,16,256,32,8,2000,1e-05,192.33333514755827,18.016039167262722,41519.42893150522,203.76316873150856,-5.415282317892419,310.479109,2025-11-23T21:25:26,1311
72,16,33,64,256,8,2,2000,9.755323389695137e-05,142.4839596530678,11.32455111395172,29923.862040920405,172.9851497699164,-0.6588662754219043,42.55388,2025-11-23T21:30:38,1554
73,12,34,64,256,16,1,2000,0.0001429464075421885,109.12725469404059,8.407174996172532,14229.11543766095,119.28585598326798,-0.6941378639345668,18.304686,2025-11-23T21:31:21,1091
74,12,37,64,256,8,1,2000,0.00030306393073638207,138.10298525616193,10.487188851831082,24999.738229677707,158.11305521580977,-1.9765028830430027,18.601329,2025-11-23T21:31:40,1100
75,16,27,64,256,4,1,2000,8.008076403096829e-05,96.6098696387497,7.903529724472838,13044.340969557365,114.2118249988037,0.27687083672848645,16.798532,2025-11-23T21:32:00,1105
76,12,33,64,256,4,1,2000,5.6550408133601147e-05,101.1760896866587,7.885367634530367,14664.238533678203,121.09598892481205,-0.7459442123801059,28.026256,2025-11-23T21:32:18,1747
77,12,32,32,256,4,1,2000,0.00013253705712085168,95.1713078473116,7.251090182700544,13454.378159362757,115.99300909693979,-0.6018965883952112,9.323511,2025-11-23T21:32:47,356
78,16,32,32,256,4,1,2000,6.104815885433561e-05,115.28701538089265,9.151471288929747,22060.669161034784,148.52834463843857,-0.22296045993116143,16.174207,2025-11-23T21:32:58,581
79,12,30,32,256,4,1,2000,7.512193438397857e-05,130.39777042844787,10.632462515855506,25984.745441686566,161.19784564840364,-2.0937791832757,14.693737,2025-11-23T21:33:15,545
80,12,37,32,256,8,1,2000,4.501034008002322e-05,75.93511151632659,6.219859964168832,10680.53260883746,103.34666230138959,-0.2716387591970937,24.169033,2025-11-23T21:33:31,865
81,12,40,64,256,4,1,2000,4.676836290726734e-05,91.65556256485361,7.158387522462757,13322.56943598763,115.42343538462036,-0.5862032622678786,22.885928,2025-11-23T21:33:56,1373
82,12,34,64,256,4,2,2000,0.00014006823827633917,101.55716598961351,7.87618196937404,13010.192520433366,114.06223091117131,-0.5490112412474513,31.460188,2025-11-23T21:34:20,1161
83,16,28,64,256,4,1,2000,1.9640270434954224e-05,115.48220137859789,9.794047957895032,18912.518702146517,137.5227933913012,-0.048438848413829616,22.292238,2025-11-23T21:34:53,1452
84,12,25,64,256,8,1,2000,0.00010320497505883713,97.84964475932888,7.787088052408531,14267.013206136615,119.44460308501434,-0.6986500238656976,11.528536,2025-11-23T21:35:16,771
85,12,34,64,256,4,3,2000,5.599268832626308e-05,120.71582687828538,9.325087494503665,17125.561164569273,130.86466736506563,-1.03899263711318,76.818879,2025-11-23T21:35:29,2000
86,16,39,32,256,16,1,2000,0.00011031758869528727,140.42859522111056,11.157515344552193,27965.7587987421,167.22965884896763,-0.5503164021534748,44.420592,2025-11-23T21:36:47,1588
87,12,37,16,512,4,1,2000,8.970068221878533e-05,123.1317687392564,9.413491298683384,18942.40515759191,137.63141050498578,-1.2553085574475569,29.924435,2025-11-23T21:37:33,547
88,12,37,64,256,8,1,2000,4.2907492247736985e-05,70.7963482869581,5.725064903436759,8940.946621829504,94.5565789452511,-0.0645212822835306,18.962577,2025-11-23T21:38:04,1126
89,12,31,64,256,8,1,2000,4.317838574773478e-05,120.45759224513704,9.300317516908652,17441.809384170116,132.06744255936098,-1.0766455808660735,24.334981,2025-11-23T21:38:24,1532
90,16,31,64,256,32,2,2000,2.735978861700493e-05,177.3737993484484,14.190916668373612,42786.281225411556,206.84844989849827,-1.3719103796994214,44.305217,2025-11-23T21:38:49,1498
91,12,35,64,256,4,1,2000,2.273744885143783e-05,106.00184779299893,8.374793530121732,13331.19038907634,115.46077424422694,-0.5872296846842804,31.955853,2025-11-23T21:39:35,2000
92,12,40,32,256,4,1,2000,5.895822300414648e-05,80.4267010739682,6.480294909338759,10781.429455385029,103.83366243846467,-0.28365167516764056,13.954479,2025-11-23T21:40:08,519
93,16,37,64,256,4,1,2000,4.878665597437309e-05,156.0374384170519,12.613355881157778,32888.15727215504,181.3509229978029,-0.823195645165846,19.204158,2025-11-23T21:40:24,1164
94,12,40,64,256,8,1,2000,7.549798708328722e-05,120.47860101464703,9.15826810420528,21130.833235412934,145.36448409227384,-1.5158657850121955,12.108465,2025-11-23T21:40:44,722
95,12,31,32,256,8,1,2000,9.136500074096061e-05,92.35797269761099,7.4161166193601415,11960.766441560636,109.36528901603396,-0.4240651429880271,10.309776,2025-11-23T21:40:58,386
96,12,41,32,256,8,1,2000,3.270337534306469e-05,77.45485658773934,6.385700466617323,11968.335366391244,109.39988741489292,-0.4249663094871665,22.221849,2025-11-23T21:41:09,814
97,12,37,32,256,4,1,2000,3.164769772871595e-05,72.31502785157495,5.695484101060277,8553.961403852156,92.48762838267697,-0.018446295160777337,29.204025,2025-11-23T21:41:33,1033
98,24,45,32,256,32,10,2000,1e-05,114.00194062747006,10.618840766917343,16266.72552841895,127.5410738876655,-1.5134169553399022,331.945901,2025-11-23T21:42:04,1735
99,24,42,32,256,16,10,2000,1e-05,102.31113234673002,9.450276705758148,13702.971186018078,117.05969069674701,-1.1172841490010375,265.221777,2025-11-23T21:47:37,1522
