trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
381,12,24,32,1024,4,6,1221,0.002609053182193953,928.1189627572277,58.18042585895503,884996.0667223561,940.7422955955345,-36.51371899011956,20.287542,2025-11-21T04:37:19
382,12,24,32,512,4,7,1020,0.0029107090269675402,907.1060639942069,56.883702186481536,846432.6891461256,920.0177656687536,-34.87907250512175,12.603743,2025-11-21T04:37:44
383,12,24,32,1024,8,9,536,0.005495673582930072,1006.2346447233734,63.001012039845214,1036099.427579536,1017.8896932278743,-42.918774595227916,13.521207,2025-11-21T04:38:03
384,12,24,32,1024,8,9,484,0.006336560067739064,742.3179577116548,46.714485959929725,574627.2137114233,758.0416965519927,-23.35762669441158,12.157691,2025-11-21T04:38:22
385,12,24,32,1024,8,8,739,0.0047604546360049136,921.4104666634777,57.76643908229926,872588.5208938817,934.124467559801,-35.98778084749,16.493206,2025-11-21T04:38:41
386,12,24,64,512,4,7,998,0.002852841061432281,924.5026297494152,57.95725906626457,878296.3810410135,937.1746801109244,-36.22972888505296,12.108626,2025-11-21T04:39:04
387,12,24,32,1024,8,9,499,0.00634289472293231,847.4592744434257,53.20284717149598,741778.486330788,861.265630529158,-30.44293035356434,12.517393,2025-11-21T04:39:22
388,12,24,32,512,16,6,1064,0.0013221759684815015,915.8935192350923,57.42598304484804,862452.1892700605,928.6830402618864,-35.558116230408736,10.859166,2025-11-21T04:39:40
389,12,24,32,512,16,2,969,0.0029912009217440702,952.4608817025402,59.683096767272026,930798.7065464373,964.7790972789768,-38.45522746001572,4.297879,2025-11-21T04:39:58
390,8,24,32,512,4,6,1168,0.0025496886296065458,837.2941203722839,54.853992290921006,714720.7091261192,845.4115619780222,-51.32491561155368,12.434777,2025-11-21T04:40:09
391,12,24,64,512,8,7,1037,0.002706993508238679,876.7760469043632,55.01201081772851,792327.5205944838,890.1278113813116,-32.585631703202225,13.84677,2025-11-21T04:40:29
392,12,24,32,512,8,6,976,0.0035576344544335234,941.6521455371757,59.01557034702113,910300.0276853768,954.0964456937133,-37.58631774687936,10.927389,2025-11-21T04:40:48
393,12,24,64,1024,4,6,1226,0.0025918154037491807,830.0725556934257,52.129897787419225,712611.7122060257,844.1633208129963,-29.20659246517474,20.358055,2025-11-21T04:41:05
394,12,24,32,1024,8,9,518,0.0057146122830632985,937.8668265267589,58.78197499133494,903185.445988703,950.3606925734582,-37.28474079243059,13.026811,2025-11-21T04:41:31
395,12,24,64,1024,8,6,1192,0.0027176983463282874,921.1837210580089,57.75244592560293,872170.6950390678,933.9007950735815,-35.97006980639764,20.013341,2025-11-21T04:41:51
396,8,24,64,1024,4,7,1162,0.002511724658324707,859.3767619738464,56.286113919232605,752187.6959834124,867.2875509214994,-54.06788485883363,24.908163,2025-11-21T04:42:18
397,12,24,32,1024,8,7,1155,0.002978328795296067,881.6423799121757,55.312316041723555,800884.5505478157,894.9215331792033,-32.94835197861339,22.410765,2025-11-21T04:42:48
398,12,24,32,1024,4,7,1005,0.0031167153174339705,962.0159557585298,60.27223855860587,949065.9611321901,974.200164818396,-39.22955028586607,19.485553,2025-11-21T04:43:17
399,4,36,64,1024,4,10,300,0.01,457.91294238351077,31.332619178716747,214533.65303378316,463.1777769213277,-43.23929007747388,9.168264,2025-11-21T04:43:43
400,12,24,32,1024,8,7,809,0.004072988731841483,882.8988903288423,55.389856413549374,803101.7166998241,896.1594259392823,-33.042334484421445,15.873346,2025-11-21T04:44:01
401,8,24,32,1024,8,10,1166,0.0007298880427138031,803.0575481066589,52.633654747337474,658560.7066205085,811.51753315656,-47.213425130966264,35.654687,2025-11-21T04:44:25
402,12,24,32,1024,8,9,461,0.0059537618026366205,789.6787161751964,49.63715909654521,647183.7364354833,804.4773063520706,-26.43319404066118,11.696282,2025-11-21T04:45:07
403,12,24,64,1024,4,6,1129,0.0027605763157499256,925.2937470996757,58.00607949481545,879759.782912369,937.9551070879506,-36.29176039980868,18.700014,2025-11-21T04:45:26
404,12,24,64,1024,4,6,1203,0.0027583169241071656,922.6501924121757,57.84294345894172,874874.6420488353,935.3473376499423,-36.08468625736591,19.97648,2025-11-21T04:45:52
405,12,24,32,1024,4,7,1133,0.0027904011488428544,949.8010102832694,59.518443614679185,925713.2139465841,962.1399139140752,-38.239660693686716,21.894453,2025-11-21T04:46:19
406,8,24,64,1024,4,6,1176,0.0025891404607906645,868.4452739367371,56.874232626332486,767856.4819982945,876.2742048002409,-55.215001341531654,21.849482,2025-11-21T04:46:48
407,12,24,64,512,8,7,1226,0.002550179091635581,950.9220429981132,59.587638599231006,927844.7761058653,963.2469964167369,-38.33001456853431,15.026887,2025-11-21T04:47:18
408,12,24,64,1024,4,6,1193,0.0022315659440013914,913.1883190397798,57.259043164636566,857504.1732066307,926.0152121896436,-35.34837689806396,19.748396,2025-11-21T04:47:38
409,12,24,64,1024,4,7,1171,0.0026916859815507388,848.2552135710298,53.251965005497524,743128.1580965087,862.0488142190724,-30.50014101161355,22.573674,2025-11-21T04:48:05
410,12,24,64,1024,8,6,1136,0.0027252691407749783,912.9622041309257,57.24508936072033,857091.2506622085,925.7922286680789,-35.33087370129438,19.030126,2025-11-21T04:48:33
411,12,24,64,512,8,7,1190,0.002344660967325563,852.7063447559257,53.5266562800779,750699.7660876388,866.4293197299124,-30.821090657790574,14.236404,2025-11-21T04:48:58
412,12,24,64,1024,4,7,1129,0.0027863219346248172,853.5320486947277,53.57760350412245,752108.2324878505,867.2417382067416,-30.88079353640364,21.685205,2025-11-21T04:49:19
413,12,24,32,1024,8,8,768,0.004817438283210716,868.6047822559257,54.50775466494772,778065.5322484747,882.080230051935,-31.981086391454077,17.096853,2025-11-21T04:49:46
414,12,24,32,512,4,6,1167,0.002415648499448057,864.6826427702485,54.2657172859495,771267.3962223373,878.2183078382831,-31.69292311691477,12.351082,2025-11-21T04:50:10
