trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
54,12,64,256,16,4,907,0.00016964672054325329,666.1417461965654,36.3216340515721,488665.3213652537,699.0460080461469,-2.7915918913905804,35.330442,2025-11-19T17:30:02
55,8,64,256,8,1,941,0.00012353373470234922,308.5662595606246,16.211169003142597,133955.87159540004,365.9998245838378,-0.03937393209378448,14.576489,2025-11-19T17:30:39
56,8,64,256,16,1,965,7.413377946414483e-05,538.2187115285965,28.863521186827224,326348.3856122115,571.26910087297,-1.5321622766244665,14.250348,2025-11-19T17:30:55
57,8,32,512,16,7,303,0.0036903219615150983,386.7621708726743,22.654158952696832,208595.80353183323,456.72289578236956,-0.618510916714375,33.542479,2025-11-19T17:31:10
58,8,32,256,8,1,732,7.398201860010928e-05,532.9974336558752,28.184355969530568,333402.4177255072,577.4100949286453,-1.5868950554671657,19.096864,2025-11-19T17:31:45
59,8,64,512,32,10,378,0.003755577606067942,442.4977462307472,26.14783148225552,271677.79007305304,521.2271962139476,-1.1079689122076188,41.619026,2025-11-19T17:32:06
60,24,64,512,32,1,1000,0.0002800849563280449,175.5080624586967,9.352472382923601,44263.78721580631,210.3896081459498,0.6565538634483041,17.953716,2025-11-19T17:32:49
61,24,32,512,32,1,1000,0.00021915621411185043,252.2178813351289,13.13360784694582,84431.68894184369,290.57131472642595,0.3448880180940358,24.323047,2025-11-19T17:33:08
62,24,64,512,16,1,1000,0.0003200426495984843,242.38911037972525,12.604447060508825,74854.9694685832,273.59636230875435,0.41919452259386314,16.478979,2025-11-19T17:33:35
63,24,64,512,16,1,1000,0.00023145021112296234,190.30994126269943,9.868788921698856,49542.48842346554,222.58141976244454,0.6155960139325731,16.722166,2025-11-19T17:33:54
64,24,64,512,16,1,1000,0.0002502131457479923,214.91140347054557,11.176120597314217,61478.3128525186,247.94820598769937,0.5229850322573815,16.700209,2025-11-19T17:34:12
65,24,64,512,32,1,992,0.00024578783923113193,469.20171832384386,24.511196600652323,257166.60037627802,507.1159634405902,-0.9953754729289643,17.966246,2025-11-19T17:34:34
66,24,32,512,16,1,1000,0.00025086469086100236,521.3528159394037,27.45116090767523,308477.16585334396,555.4072072392867,-1.3934981051263349,24.658098,2025-11-19T17:34:54
67,8,64,256,8,3,653,0.00047020599020713424,329.93616238130534,18.04978871465007,152149.09753771004,390.062940482315,-0.18053657438723913,20.140986,2025-11-19T17:35:21
68,12,64,512,16,1,1000,0.00024231454301016847,378.032010500506,19.85031416997508,185578.91766736773,430.78871580783976,-0.43992112531082417,15.186187,2025-11-19T17:35:45
