trial_index,test_size,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,sd,runtime_s,started_at
73,24,0,2,0,2,1,2,52,3030.6498722347847,124.88221902435707,21482135.362854153,3440.671469108575,-78.7917567384681,69.44513875323649,73.322511,2026-01-10T12:01:09
74,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.636074,2026-01-10T12:02:23
75,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.653393,2026-01-10T12:02:30
76,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.673808,2026-01-10T12:02:36
77,24,4,2,0,2,1,0,52,1984.0265382137088,123.96300048627627,7574416.351365912,2304.778255368649,-56.00626958669415,114.13714396915279,84.926372,2026-01-10T12:02:43
78,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.631745,2026-01-10T12:04:09
79,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.635829,2026-01-10T12:04:16
80,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.619617,2026-01-10T12:04:22
81,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.634178,2026-01-10T12:04:29
82,24,0,1,0,2,1,0,52,525.8889903339369,34.28587168235066,545957.2257937479,657.2589127877002,-3.936028198750314,28.257270010042088,11.978697,2026-01-10T12:04:35
83,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.656114,2026-01-10T12:04:48
84,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.612092,2026-01-10T12:04:54
85,24,4,1,1,1,0,1,52,269.69190323067454,13.506539884398846,148241.54732141356,340.48552194603803,-1.177855254025418,1.3083397023609808,5.620219,2026-01-10T12:05:01
86,24,0,0,4,2,1,2,52,1414.012598710625,88.98454773261422,3535100.1956923916,1577.3691720782688,-27.37935010042021,81.7571824187111,189.095549,2026-01-10T12:05:08
