trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at,effective_epochs
34,24,44,32,512,16,8,1432,1.7580855843901676e-05,119.59799325804006,9.871411787752448,23143.01064558503,152.12827036939922,-0.5782059568321296,287.987397,2025-11-23T15:08:41,1419
35,16,43,64,1024,4,8,1407,1.6646204242222066e-05,204.04627268286515,15.531111314877114,49248.62657088611,221.92031581377609,-2.668051228264746,559.678011,2025-11-23T15:13:30,1407
36,24,35,32,256,32,6,1546,1.9885627257895395e-05,121.42864677131183,9.975034746540032,22310.71841483026,149.36772882664533,-0.5214489265339624,149.117448,2025-11-23T15:22:50,1451
37,24,36,64,1024,32,4,1753,2.6812129285997364e-05,89.71625983753343,7.169350896147327,15419.0767538766,124.1735751030653,-0.05148284959468463,296.050658,2025-11-23T15:25:20,1753
38,24,39,64,256,32,6,1364,2.2870158833694206e-05,109.97215286872404,8.391369558570688,23305.826707569464,152.66246004689387,-0.5893089754854441,116.940741,2025-11-23T15:30:17,1364
39,16,33,64,256,32,5,1205,2.0353458271270574e-05,130.40787563653998,9.852759301379772,23729.727001855455,154.04456174060627,-0.7673965821211104,83.470328,2025-11-23T15:32:15,1205
40,24,32,64,512,32,4,1853,1.9176707149915234e-05,102.4812818653811,8.149971315820355,18332.199377046574,135.39645260141262,-0.2501392624216976,114.721464,2025-11-23T15:33:40,1472
41,24,39,64,512,32,6,1511,2.7383461370692842e-05,96.32546224077146,7.620117791435438,16982.03029051884,130.31511919389416,-0.1580663282766679,141.169917,2025-11-23T15:35:36,1064
42,24,35,32,1024,32,4,1786,1.596286065121369e-05,203.81000251732408,16.93529329311506,49365.46578844237,222.1834057449889,-2.3664104192068485,312.737632,2025-11-23T15:37:58,1650
43,16,36,32,256,32,6,1317,1.8659348083936876e-05,78.6497734489421,6.124391273731969,9262.666923526522,96.2427499790323,0.3101140244602484,147.964338,2025-11-23T15:43:11,1317
44,12,30,32,1024,4,8,1318,0.00012319614781442496,213.73334344080487,17.153324526687353,59215.090063590535,243.34150912573574,-2.5133766997108435,369.943304,2025-11-23T15:45:40,1038
45,24,34,64,1024,16,3,1748,2.4902287706011392e-05,102.16416400314442,8.315260499290895,17104.468327365048,130.7840522669528,-0.1664158227332322,204.21529,2025-11-23T15:51:51,1716
46,16,33,32,256,32,5,1217,1.8919086754293836e-05,98.0284919432443,7.554210641191878,12296.357328444614,110.88894141637665,0.08416393019887736,102.467854,2025-11-23T15:55:17,1085
47,24,34,64,1024,32,3,1821,1.8089756045344734e-05,90.22355614679054,7.238445936900316,14667.571603758486,121.1097502423256,-0.00023498376298958235,225.805503,2025-11-23T15:57:00,1821
48,24,39,32,256,32,7,1334,2.0977100819107402e-05,217.9963590750589,18.213880110339687,54030.810088749895,232.4452840750913,-2.684557192683046,148.666187,2025-11-23T16:00:47,1236
49,16,33,32,256,32,5,1442,1.61168671952592e-05,78.17473979776032,6.151357390299386,9528.104898291522,97.61201205943622,0.29034413122346037,111.563537,2025-11-23T16:03:17,1166
50,16,46,64,512,16,7,1533,2.4108669350242154e-05,98.365066773278,7.450031535186877,13580.747926536944,116.53646608052324,-0.011497834177905286,252.724535,2025-11-23T16:05:10,1533
51,16,36,32,256,16,6,1257,1.775134434710028e-05,77.7216728630046,6.057762606597683,8779.859199681094,93.70090287548511,0.34607367628765295,102.889965,2025-11-23T16:09:23,966
52,12,24,16,512,4,10,1447,0.0002551444092660282,108.6865689731044,8.779237078298944,19233.29785673068,138.6841658471892,-0.1411587903669349,551.347943,2025-11-23T16:11:07,1447
53,12,24,16,512,4,10,1238,0.00025267482773768914,105.1417224906104,8.286051173544843,18335.809400553488,135.409783252738,-0.08790859642471172,468.949075,2025-11-23T16:20:20,1238
54,12,48,64,1024,32,10,1000,0.01,783.7851913432158,60.60957801194531,631173.4133631445,794.4642303862047,-36.449068499357615,115.300983,2025-11-23T16:28:10,207
55,12,24,64,1024,4,1,1000,0.01,181.2965555176278,14.603252536233546,44708.09423405456,211.44288645886047,-1.6526410143380872,14.996982,2025-11-23T16:30:06,431
56,24,48,16,1024,4,1,1000,0.01,695.2304927495674,56.370716555294955,498011.9712136428,705.6996324312794,-32.96124521478454,20.002821,2025-11-23T16:30:23,272
57,16,42,32,512,16,7,1380,1.732319203340609e-05,87.23514712017199,6.7370935761598,10628.878230437207,103.09645110495903,0.20835823122670816,208.793187,2025-11-23T16:30:44,1090
58,16,47,64,512,8,7,1564,2.133610877284369e-05,106.0012536984011,7.9835565254405525,15367.59756670539,123.966114590663,-0.14458288595920532,255.04592,2025-11-23T16:34:14,1564
59,16,38,32,256,16,6,1265,1.8370956024377554e-05,78.9422539176921,6.11594528215707,8882.506134169047,94.24704841091337,0.33842850442516026,137.62736,2025-11-23T16:38:30,1265
60,16,37,32,256,16,6,1229,1.951661193215799e-05,85.46254885357042,6.575664893007622,10088.938910879064,100.44371016086106,0.2485730599883389,133.188167,2025-11-23T16:40:49,1229
61,24,35,64,1024,32,4,1943,1.7748836017122632e-05,84.57283982177174,6.690348854180662,14184.386520737711,119.09822215607466,0.03271516209114489,313.839527,2025-11-23T16:43:03,1902
62,16,30,32,256,16,5,1421,2.0105482887626127e-05,111.89009723477805,8.589783229634897,17637.36447319245,132.8057396093725,-0.31363574832138785,130.828904,2025-11-23T16:48:18,1411
63,24,36,64,1024,32,3,1921,1.818213348635559e-05,90.21336357702683,7.078245029579709,15281.747837360577,123.61936675683377,-0.042117891966225285,241.979221,2025-11-23T16:50:30,1921
64,16,36,32,256,32,6,1286,2.619404068646153e-05,85.43726726358064,6.599311514991793,9760.902762099075,98.7972811473022,0.2730052824121616,141.15965,2025-11-23T16:54:33,1265
65,12,24,64,256,4,1,1000,0.01,192.9051065430184,15.483730913897546,48585.82655699955,220.4219284848936,-1.8827163950648567,7.35668,2025-11-23T16:56:55,475
66,24,35,64,1024,32,4,1902,1.648297520156744e-05,82.27975133490425,6.5341129968187195,13657.313059233662,116.86450726903212,0.06865821588706522,314.568156,2025-11-23T16:57:04,1902
67,12,30,16,512,4,10,1284,0.00012654790140012145,124.17741788449062,9.694035399072437,21023.457464554554,144.9946808146925,-0.2473733557444029,316.25628,2025-11-23T17:02:20,845
68,16,36,32,256,16,6,1350,2.3475362151903306e-05,78.14435117291715,6.073106491155426,8888.567770736783,94.27920115665376,0.33797703206936625,102.674838,2025-11-23T17:07:37,939
69,16,35,32,256,32,6,1333,2.276943385776722e-05,69.27877199810167,5.349058658596649,6512.265643850089,80.69860992514114,0.5149646668962766,119.199978,2025-11-23T17:09:22,1056
70,16,35,32,256,32,6,1353,2.0803861209039958e-05,131.42367212744523,9.993225849131852,23199.433201552645,152.3136014988571,-0.7279001542818049,119.790579,2025-11-23T17:11:22,1056
71,24,39,64,1024,32,4,1870,2.014413999185897e-05,91.81130145177401,7.3364900877864665,13968.725130129651,118.18936132380804,0.047421895650085255,309.72794,2025-11-23T17:13:23,1782
72,16,38,32,256,16,6,1203,2.144683388433315e-05,154.90188257666398,11.721234301627732,31406.69596060954,177.21934420544937,-1.3391793378894725,84.509106,2025-11-23T17:18:34,772
73,16,41,32,512,16,7,1461,1.5207468368960478e-05,98.10371942548564,7.774627124046218,15831.285274782622,125.8224354985335,-0.17911847376277312,264.922155,2025-11-23T17:20:00,1382
74,16,46,64,512,16,8,1639,2.13951384587212e-05,131.50068323584367,9.866164048462547,25586.714056278266,159.9584760376213,-0.9057054877723805,256.093302,2025-11-23T17:24:26,1361
75,16,46,64,512,16,6,1479,2.274868092876612e-05,100.34992373150011,7.653814802696029,13776.447704159455,117.37311320809147,-0.026073607344821337,209.728824,2025-11-23T17:28:44,1479
76,16,36,32,256,16,6,1275,1.6117485346896626e-05,121.56958718454395,9.239978783973408,21875.168344140453,147.90256368346172,-0.6292685441233568,136.467331,2025-11-23T17:32:15,1275
77,12,24,16,512,4,10,1244,0.0002827539731887748,77.81378874878827,6.354588775909352,12212.71608967718,110.51115821344548,0.27538956533584324,354.705961,2025-11-23T17:34:32,916
78,12,24,16,512,4,10,1339,0.00035517179166175914,265.64359995324196,21.20276334396676,87421.18807920635,295.6707426838279,-4.186913756758359,79.315416,2025-11-23T17:40:28,205
79,12,24,16,512,4,10,1000,0.00014407870501244413,103.16026755381216,8.410565627082782,19083.37474523974,138.1425884556958,-0.1322634840169019,378.567021,2025-11-23T17:41:49,1000
80,16,41,32,512,16,5,1548,2.8502787995273734e-05,120.33347649728809,9.310386377122242,18942.80668396604,137.63286919906173,-0.41086544259041435,111.421255,2025-11-23T17:48:09,804
81,16,36,32,256,16,6,1295,1.998752906758743e-05,77.14680020856169,6.007035678107648,8962.032457443598,94.66801179619016,0.33250536203363135,101.003524,2025-11-23T17:50:01,945
82,12,24,16,256,4,1,2000,0.01,457.7394048035024,35.81244771092385,226379.9638838336,475.79403514948945,-12.431679146932236,14.986508,2025-11-23T17:51:44,267
83,12,24,16,256,8,10,1222,0.0001428933798192329,110.88718554399583,8.630350595054631,17977.653652995738,134.08077286843084,-0.06665833644899255,423.075824,2025-11-23T17:52:00,1222
84,12,36,32,256,16,6,1278,2.1255354059454876e-05,154.03868262720465,12.253402942075542,32619.7105253527,180.60927585634326,-0.9354075251428839,115.570603,2025-11-23T17:59:05,1057
85,16,39,32,256,16,6,1395,2.0916718462239535e-05,82.31138391523173,6.4935088572234605,11648.302337163756,107.92730116686766,0.13243124387369365,126.048368,2025-11-23T18:01:01,1140
86,12,24,16,512,4,10,1311,0.00014617282992968552,132.0570242969653,9.890369021019694,21896.36794160714,147.9742137725595,-0.2991652778324476,506.84731,2025-11-23T18:03:08,1311
87,12,30,16,512,4,10,1000,0.00017511832542143038,314.27292327680965,24.90122354537516,115621.90778011199,340.0322157974329,-5.860131705187341,77.591892,2025-11-23T18:11:37,206
88,24,44,64,512,16,6,1593,3.509091140525802e-05,93.27865529180558,7.373433939676708,16201.831403983357,127.28641484456759,-0.10486173233620888,213.795104,2025-11-23T18:12:55,1593
89,16,38,32,256,16,5,1403,1.954877214974521e-05,162.27827112646867,12.301276427016331,34265.81330387846,185.11027336125474,-1.5521271825899854,99.331852,2025-11-23T18:16:30,1046
90,24,39,64,512,32,4,1782,2.168866684362999e-05,116.19351104977716,8.98513654666861,24435.24527423619,156.31777018060419,-0.6663281298628487,87.097707,2025-11-23T18:18:11,985
91,16,37,32,512,32,7,1351,2.1797524228129024e-05,73.13960421245714,5.682403924818305,7657.70967489309,87.50834060187114,0.4296516809812624,194.416054,2025-11-23T18:19:39,1048
92,24,35,64,1024,32,7,1824,2.4317825643369572e-05,149.4090338623189,12.404394966185333,29027.40620598137,170.37431204844634,-0.9794842636174084,527.200044,2025-11-23T18:22:54,1824
93,16,38,32,512,32,7,1352,2.29279859955899e-05,100.98214425051522,8.045581867817168,15260.490069228053,123.53335609958977,-0.13660549014061085,245.169854,2025-11-23T18:31:43,1311
94,12,24,16,256,4,10,1456,8.627015113422323e-05,113.17464408391373,8.263592563062392,20799.90792987939,144.22173182249404,-0.23410961291271137,106.520007,2025-11-23T18:35:49,307
95,16,24,16,512,4,10,1414,9.328260064543732e-05,86.6375657851291,6.858289779298238,10749.264406142278,103.67865935737343,0.1993918358080362,215.424308,2025-11-23T18:37:37,560
96,16,24,16,256,8,10,1439,8.643569518953804e-05,84.58470885626677,6.800561897004617,10210.541266565895,101.0472229532603,0.23951608315072181,145.09645,2025-11-23T18:41:13,434
97,16,24,16,512,8,10,1413,8.104592800778991e-05,88.78151187711204,6.667563563191738,10207.581733532159,101.03257758531235,0.2397365099836175,546.077757,2025-11-23T18:43:40,1413
98,24,35,64,1024,32,3,1608,1.7805214910661268e-05,88.44095858842006,6.8755901468902705,15275.772280565992,123.59519521634323,-0.04171039704376134,211.442315,2025-11-23T18:52:47,1608
99,16,24,16,256,8,10,1313,8.999572457724252e-05,59.30547243401766,4.417483797896278,5691.095647647274,75.43935079020281,0.5761256336665972,139.234133,2025-11-23T18:56:20,399
